test,nodes,gpu_per_node,seq_len,dp,pp,tp,cp,mbs,gbs,gas,tokens_per_iteration,mean_iter_time_ms,tokens_per_sec,predicted_steps_full,predicted_hours,predicted_days
n7-tp1-mbs2-gbs224,7,4,8192,28,1,1,1,2,224,4,1835008,4652.602,394404.7,23325,30.1450,1.2560
n14-tp2-mbs4-gbs224,14,4,8192,28,1,2,1,4,224,2,1835008,1119.142,1639656.1,23325,7.2511,0.3021
n14-tp2-mbs4-gbs336,14,4,8192,28,1,2,1,4,336,3,2752512,1549.316,1776598.2,15550,6.6922,0.2788
n14-tp1-mbs2-gbs224,14,4,8192,56,1,1,1,2,224,2,1835008,892.692,2055589.2,23325,5.7839,0.2410
n8-tp1-mbs2-gbs256,8,4,8192,32,1,1,1,2,256,4,2097152,1664.350,1260042.7,20409,9.4355,0.3931
n8-tp2-mbs4-gbs256,8,4,8192,16,1,2,1,4,256,4,2097152,1738.654,1206192.8,20409,9.8567,0.4107
n10-tp1-mbs2-gbs240,10,4,8192,40,1,1,1,2,240,3,1966080,1251.902,1570474.4,21770,7.5705,0.3154
n12-tp2-mbs4-gbs288,12,4,8192,24,1,2,1,4,288,3,2359296,1372.012,1719588.5,18141,6.9138,0.2881
n8-tp1-mbs3-gbs288,8,4,8192,32,1,1,1,3,288,3,2359296,1612.560,1463074.9,18141,8.1260,0.3386
n8-tp2-mbs6-gbs288,8,4,8192,16,1,2,1,6,288,3,2359296,1976.036,1193954.0,18141,9.9576,0.4149
